osmid,y,x,street_count,ref,highway,geometry
358333140,22.5081786,114.1299519,3,,,POINT (114.1299519 22.5081786)
358333211,22.5093762,114.127655,3,,,POINT (114.127655 22.5093762)
358334697,22.502239,114.1357009,4,,,POINT (114.1357009 22.502239)
598635496,22.5031204,114.123556,4,,,POINT (114.123556 22.5031204)
598635497,22.503117,114.1234117,4,,,POINT (114.1234117 22.503117)
598635526,22.5004935,114.1239233,3,,,POINT (114.1239233 22.5004935)
598635527,22.5003551,114.1240549,3,,,POINT (114.1240549 22.5003551)
598635549,22.5018182,114.1200845,3,,,POINT (114.1200845 22.5018182)
598635550,22.5016642,114.1206821,3,9,motorway_junction,POINT (114.1206821 22.5016642)
598635556,22.5005283,114.1235514,3,,,POINT (114.1235514 22.5005283)
598635623,22.500561,114.1236646,3,,,POINT (114.1236646 22.500561)
598635647,22.5056115,114.121805,3,,,POINT (114.121805 22.5056115)
598635650,22.506476,114.1212278,2,,,POINT (114.1212278 22.506476)
598635677,22.5027956,114.1234392,3,,,POINT (114.1234392 22.5027956)
637864109,22.5035615,114.1272589,3,,,POINT (114.1272589 22.5035615)
637864167,22.5058101,114.1281244,3,,,POINT (114.1281244 22.5058101)
637864175,22.5054925,114.1277568,3,,,POINT (114.1277568 22.5054925)
637864176,22.5053128,114.1275386,4,,,POINT (114.1275386 22.5053128)
637864177,22.5057311,114.1269371,3,,,POINT (114.1269371 22.5057311)
637864192,22.5047597,114.1268424,3,,,POINT (114.1268424 22.5047597)
637864200,22.5040259,114.1272887,4,,,POINT (114.1272887 22.5040259)
637864202,22.5044277,114.1273339,3,,,POINT (114.1273339 22.5044277)
637864216,22.504228,114.1297476,3,,,POINT (114.1297476 22.504228)
637864218,22.5037295,114.1291689,3,,,POINT (114.1291689 22.5037295)
637864223,22.5054722,114.128477,3,,,POINT (114.128477 22.5054722)
637864228,22.5049709,114.1278972,3,,,POINT (114.1278972 22.5049709)
637864250,22.5066499,114.1270696,3,,,POINT (114.1270696 22.5066499)
637864260,22.5070605,114.1277834,3,,,POINT (114.1277834 22.5070605)
637864263,22.5071773,114.1277577,3,,,POINT (114.1277577 22.5071773)
637864319,22.5062091,114.1270129,3,,,POINT (114.1270129 22.5062091)
637864325,22.5045922,114.1293818,4,,,POINT (114.1293818 22.5045922)
637864327,22.5038585,114.1301494,3,,,POINT (114.1301494 22.5038585)
637864340,22.503345,114.129572,3,,,POINT (114.129572 22.503345)
637864360,22.5076187,114.1269355,3,,,POINT (114.1269355 22.5076187)
637864413,22.5042095,114.1305479,4,,,POINT (114.1305479 22.5042095)
637864416,22.5049487,114.129797,3,,,POINT (114.129797 22.5049487)
637864419,22.5060301,114.1287355,3,,,POINT (114.1287355 22.5060301)
637864448,22.5074468,114.126822,3,,,POINT (114.126822 22.5074468)
637864527,22.5077072,114.1268737,3,,,POINT (114.1268737 22.5077072)
637864537,22.5076708,114.1266479,3,,,POINT (114.1266479 22.5076708)
637864625,22.5040573,114.1267648,3,,,POINT (114.1267648 22.5040573)
637864646,22.5067948,114.1279227,3,,,POINT (114.1279227 22.5067948)
637864658,22.5067716,114.1271905,3,,,POINT (114.1271905 22.5067716)
637864671,22.5053159,114.1268957,3,,,POINT (114.1268957 22.5053159)
637864816,22.5074815,114.1268887,3,,,POINT (114.1268887 22.5074815)
637864826,22.5074798,114.1266726,3,,,POINT (114.1266726 22.5074798)
637882051,22.5031267,114.1266702,4,,,POINT (114.1266702 22.5031267)
637882053,22.5032064,114.1261616,4,,,POINT (114.1261616 22.5032064)
637882055,22.5033686,114.1258125,3,,,POINT (114.1258125 22.5033686)
637882059,22.5085074,114.1218045,4,,,POINT (114.1218045 22.5085074)
637882076,22.5005051,114.1344073,4,,,POINT (114.1344073 22.5005051)
637882077,22.5003395,114.1344061,4,,,POINT (114.1344061 22.5003395)
637882078,22.5001555,114.1339862,3,,,POINT (114.1339862 22.5001555)
637882079,22.5004161,114.1343251,4,,,POINT (114.1343251 22.5004161)
637882088,22.5025815,114.1287614,3,,,POINT (114.1287614 22.5025815)
637882094,22.5019462,114.1313207,3,,,POINT (114.1313207 22.5019462)
637882095,22.5025236,114.1322868,3,,,POINT (114.1322868 22.5025236)
637882097,22.503517,114.1297733,3,,,POINT (114.1297733 22.503517)
637882117,22.5057234,114.1320499,4,,,POINT (114.1320499 22.5057234)
1091173520,22.5078809,114.1356586,4,,,POINT (114.1356586 22.5078809)
1110130540,22.5081588,114.1358846,1,,,POINT (114.1358846 22.5081588)
1449544112,22.5030626,114.1270373,3,,,POINT (114.1270373 22.5030626)
1449544271,22.5027644,114.1267663,3,,,POINT (114.1267663 22.5027644)
